Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
0.1609176464	0.00061466244802	9.89100344658407E-05	0.1641225826	0.001520829962	0.0002496025410589	0.1609875304	0.001539783346	0.000247885918223589	0.1610055578	0.00153631664	0.000247355517580622	0.160028376	0.001548904504	0.000247868672354206	0.1607559674	0.001056069556	0.000169769483116468	0.1597342834	0.001087950658	0.000173783018730188	0.1505900596	0.0008238670404	0.000124066186716312	0.1606686974	0.001443206042	0.00023187803484795	0.1514335652	0.00139587055	0.000211381653944185	0.159920794	0.001461551696	0.000233732507696367	0.1521618556	0.001421511092	0.000216299765514702	0.1599010656	0.001464141178	0.000234117734551039	0.1521697056	0.001442350644	0.00021948207286945	0.1614350572	0.001464748152	0.000236461701701714	0.152051151	0.001444431154	0.000219627419505958	0.1603076554	0.001305917104	0.000209348509088998	0.1509112012	0.001076507366	0.000162457019703708	0.1608076936	0.001494736516	0.00024036513167766	0.1511331162	0.00139180511	0.000210347843417384	0.1610876284	0.001352894524	0.000217934570346507	0.1521631616	0.00122260402	0.00018603529306807	0.161103603	0.001387907066	0.000223596828961759	0.1521932506	0.001285174594	0.000195594899049395	0.1603745418	0.001379962506	0.00022131085460093	0.1513753288	0.001378714102	0.000208703300511447	0.1596974332	0.001458490612	0.000232917207082697	0.1521490758	0.00143927306	0.000218984065902838	0.160483102	0.00144627489	0.000232102680691909	0.1514825254	0.00143992516	0.000218123499623799	0.160254956	0.00146583159	0.00023490677695886	0.15078564	0.001473775182	0.000222224134033986	0.1606916258	0.001438645222	0.000231178239672582	0.15104973	0.00144564317	0.000218364010504844	0.1592901686	0.001062427534	0.000169234261016142	0.1500361992	0.0009566266932	0.000143528633100992	0.1606523468	0.00101266947	0.000162687726888212	0.1518612812	0.0008709977798	0.000132270838762784	0.1606792074	0.001087269932	0.000174701670903612	0.150215448	0.001079645114	0.000162179374480521	0.1599527482	0.001128644332	0.000180529762643753	0.1512403368	0.00106035721	0.000160368781568708	0.1603962462	0.001226869844	0.00019678531755358	0.1516150354	0.001177705658	0.00017855788502845	0.160174654	0.001311227548	0.000210025418816168	0.151361855	0.00116871599	0.000176899020214561	0.1600441098	0.001223282324	0.000195779130578655	0.1518283924	0.001054667346	0.000160128447659955	0.1599666076	0.001156936946	0.000185071278458724	0.1524868712	0.001097408054	0.000167340320584141	0.160412134	0.001077276886	0.000172808284192135	0.1517290554	0.001096266876	0.000166335537561789	0.1600119004	0.00114399489	0.000183052796396789	0.1516744094	0.0010304314396	0.000156290080028522	
0.1694407616	0.00061723628318	0.000104584985909172	0.1728727068	0.00151796799	0.000262415235267055	0.1693286548	0.00154212004	0.000261125111913322	0.1698362442	0.001539934244	0.000261536648315926	0.1684157716	0.001542534882	0.000259787202371945	0.1691078574	0.00103698592	0.000175362467085168	0.1680842748	0.001082246722	0.000181908655422047	0.1596502994	0.0007980586206	0.000127410297717541	0.1692254196	0.001439778634	0.000243647143469765	0.159678919	0.001391542622	0.000222200021623386	0.1684584912	0.001457388734	0.000245509507221518	0.1605422638	0.001422151548	0.000228315428982594	0.169162986	0.00146001315	0.000246980184053266	0.1609274628	0.001440524376	0.000231819932931233	0.169700043	0.001463432308	0.000248344525595189	0.1609097294	0.00144128904	0.000231917429413586	0.1686037424	0.001300888558	0.000219334679324139	0.1587811238	0.001063568222	0.000168874557527128	0.169430377	0.001493005346	0.000252960458635796	0.1599644292	0.00138581588	0.000221681246220496	0.169294932	0.001349597148	0.000228479957398054	0.1607604782	0.001208063738	0.000194208904216959	0.1698461324	0.001377694712	0.000233996118461132	0.1604664962	0.001283703486	0.000205991400558146	0.1689585294	0.00138358011	0.00023376766069269	0.1607710316	0.001372950002	0.000220730588156762	0.1689010064	0.001451800762	0.000245210609794087	0.160657609	0.001439878582	0.00023132745023443	0.1684043846	0.001441056148	0.000242680173777987	0.1608300584	0.001434646254	0.000230734240814161	0.1688693798	0.001458431416	0.000246284408700756	0.1596232946	0.001478223436	0.000235958895009252	0.169377726	0.001439605906	0.00024383717469445	0.1600649516	0.001441350176	0.000230709646160091	0.1677061018	0.001060861328	0.000177912917869251	0.1583449504	0.0009499368434	0.000150417702351306	0.16877531	0.001020995392	0.000172318813793372	0.1599056	0.0008668348184	0.000138611741737143	0.1692048478	0.00107801826	0.000182405915608921	0.1590182234	0.001066515774	0.000169595443609556	0.1676844262	0.00112966518	0.00018942725750642	0.1597793062	0.00105459311	0.0001685021554391	0.1688629128	0.001228340952	0.000207421231066245	0.1605249736	0.00117024532	0.000187853599098524	0.1686394218	0.001310136832	0.000220940717827364	0.1596173476	0.00115581178	0.000184487610648435	0.1682672676	0.001226995026	0.000206463100383811	0.1602957048	0.001047146844	0.000167853141388076	0.1688606914	0.001155751132	0.000195160935235853	0.16088376	0.00108620008	0.000174751952982701	0.168633374	0.001087429078	0.000183376834408849	0.159974409	0.001061587176	0.000169826781082579	0.168154515	0.001148062754	0.000193051935588434	0.1607714462	0.0010179774888	0.00016366171307342	
0.1774971372	0.00062156479606	0.000110325971884952	0.1809981952	0.00152243226	0.000275557491374257	0.1778695036	0.001541124424	0.000274119036282716	0.1785553056	0.001537052194	0.000274448824222821	0.1769680314	0.001545416932	0.000273489392148268	0.1773538568	0.001030901592	0.00018283437332246	0.1763505522	0.001072414758	0.000189120934760729	0.1682260274	0.0007809914492	0.000131383088932285	0.1783357662	0.001442755782	0.00025729495782245	0.168910384	0.001375661264	0.000232363472356165	0.1771249012	0.001454887076	0.000257696729593657	0.1688377052	0.001417062838	0.000239253637692119	0.1773715618	0.001463050462	0.000259503545437152	0.1688214992	0.001436716576	0.000242548646285811	0.1788680912	0.001461571106	0.000261428433883293	0.1689692564	0.001440103228	0.0002433331715744	0.1779614144	0.001285517624	0.000228772534603167	0.1671996014	0.001047296768	0.000175107602157108	0.1783567958	0.001496267788	0.000266869528326434	0.1683816346	0.00137601885	0.000231696303203412	0.1776835998	0.001343642852	0.000238743298788899	0.169383788	0.001200698498	0.00020337885983715	0.1784827522	0.001380031404	0.00024631180310835	0.1690200282	0.00127464201	0.000215440028475105	0.1778532592	0.001380793158	0.000245578563431361	0.168824863	0.001372984936	0.000231793993721264	0.1780043656	0.001450554784	0.000258205084093965	0.1687082694	0.001439463256	0.000242849354784649	0.1777588664	0.001430073304	0.000254208209387943	0.1687354868	0.001430613324	0.000241395235647706	0.1776252384	0.001448314158	0.000257257147592845	0.1682288322	0.001473324922	0.000247855731079216	0.1779236636	0.0014360834	0.000255513219763144	0.1687332796	0.001440294394	0.000243025596689115	0.1771620698	0.0010509692	0.00018619187876805	0.1669967786	0.0009408404332	0.000157117321521028	0.1769654872	0.001020224904	0.000180544597189933	0.1685136822	0.000861070718	0.000145102197324778	0.1780146106	0.001066074734	0.000189776878643509	0.167656096	0.001058414982	0.00017744972383003	0.1769152648	0.0011207939	0.000198285549604725	0.1678635736	0.001046907644	0.000175737658350997	0.1770993804	0.001228921242	0.000217641190518598	0.1692567378	0.001165797064	0.000197319007989458	0.177896234	0.00130978167	0.000233005226455231	0.1682051324	0.001147070532	0.000192943150707198	0.1774587838	0.00122405281	0.000217218922969572	0.1686634298	0.001041062514	0.000175589174247451	0.178019227	0.00114179114	0.000203260776138249	0.1695260948	0.001083543158	0.000183688840122999	0.1767271732	0.00108528258	0.000191798922486603	0.168761311	0.0010306551118	0.00017393470785622	0.177607312	0.00113753017	0.000202033675812603	0.1695507534	0.0010016808048	0.000169835735120158	
0.1860386318	0.00033042128256	6.14711233250636E-05	0.18936087	0.00122211732386	0.000231421199688201	0.1863735746	0.00153615604	0.00028629889231818	0.1876802344	0.001534265242	0.000287951260250333	0.1858849378	0.00153907254	0.000286090403367588	0.1859904958	0.001023571286	0.000190374530969784	0.1846510824	0.001065049518	0.000196662546308298	0.176629923	0.0007659058088	0.000135281884033597	0.1869026274	0.001438947982	0.000268943158527728	0.1776129648	0.00137470058	0.00024416464572608	0.1858490322	0.001451684798	0.000269794214767752	0.1780736132	0.001410943576	0.000251251820599649	0.1863956502	0.001458342142	0.000271828631772151	0.1775304216	0.001429351338	0.000253753345649664	0.1873994468	0.001462661822	0.00027410201629828	0.1780631032	0.00143552494	0.000255614025537394	0.1864052588	0.001276931638	0.000238026772451298	0.1758539932	0.0010235048126	0.000179987408355128	0.1870777752	0.001493835998	0.000279463515019512	0.17701571	0.001362699316	0.000241219186938254	0.1866702838	0.001337463426	0.00024966467730354	0.1780292936	0.001186028184	0.000211147759787211	0.1869570328	0.001380256534	0.000258048666099452	0.1772901028	0.001263304004	0.000223971296736812	0.1863300648	0.00137515909	0.000256233482350009	0.1776498342	0.001373885456	0.000244070523468191	0.186609277	0.001453887094	0.000271308819450971	0.178358892	0.001428990838	0.000254873222543831	0.1863041776	0.001417169094	0.000264024522577807	0.1776504944	0.001416333106	0.000251612276515988	0.1866366626	0.00144139918	0.000269017932429577	0.1770341326	0.001468106178	0.000259904903786931	0.1859058378	0.001436723856	0.000267095352136927	0.178213342	0.001435170748	0.00025576657534172	0.1858646506	0.00104889257	0.000194952051039986	0.1754754828	0.0009329298362	0.00016370631342572	0.1857359086	0.001023202052	0.000190045362809604	0.177209295	0.000849992777	0.000150626620767262	0.18662649	0.001053265622	0.000196567266071527	0.1768279414	0.0010377903702	0.00018351033476721	0.1856977622	0.001118742502	0.000207747979099429	0.1767627464	0.0010359248	0.000183112912711871	0.1857854614	0.001219279474	0.000226524399652639	0.1777899728	0.001160768518	0.000206373003242316	0.186992625	0.001297007492	0.000242530835573746	0.1771182414	0.001141531562	0.000202186062764035	0.1867803044	0.001217648254	0.000227432711534249	0.1768117598	0.001039106214	0.000183726198316455	0.1869799178	0.00113820847	0.000212822126159864	0.1777149998	0.001089817682	0.000193676949138666	0.1859332908	0.00109302821	0.000203230332022533	0.1773992028	0.001008784524	0.000178957570354577	0.1856541752	0.001139996896	0.00021164518345744	0.1789705506	0.0009836180158	0.000176038657867806	
0.1936130402	3.478486952E-05	6.73480434072752E-06	0.1968084448	0.00092376670328	0.00018180508823056	0.1948402412	0.001532823732	0.000298655745659964	0.1961386606	0.001533399656	0.000300758954692341	0.19513351	0.00153321334	0.000299181300613023	0.1941026744	0.001024592134	0.000198876073378603	0.1928495192	0.001051504852	0.000202782205144667	0.1849868632	0.0007509851342	0.000138922384285489	0.1952044104	0.00143235323	0.000279601667746686	0.1863833862	0.001370442522	0.000255427717842828	0.1940772596	0.001456868608	0.000282745067037907	0.1863329224	0.001405179476	0.000261831198259581	0.1949212904	0.001459017532	0.000284393580053663	0.1858968938	0.001422176294	0.000264378155490596	0.1959612386	0.001464453158	0.000286976054713361	0.1873408584	0.001436935882	0.000269196801599641	0.1950069994	0.001275970954	0.000248823267061095	0.1845977758	0.001004291145	0.000185389911622635	0.1957854062	0.00148935281	0.000291593544880961	0.1857791632	0.001348739326	0.000250567663359212	0.1952149492	0.001332625076	0.000260148336513986	0.1858865328	0.001175625632	0.000218532972603289	0.1954579522	0.001376128506	0.000268975259746805	0.1858506224	0.001251810736	0.000232649804412602	0.1947320426	0.001373427918	0.000267450423836005	0.1863390858	0.00137045805	0.000255369900164251	0.1953974704	0.001452606182	0.000283835573450202	0.1867126614	0.001426974374	0.000266434183119139	0.194867868	0.00141710893	0.000276148995912861	0.1870741082	0.001418289408	0.000265325226171106	0.1956689912	0.001427949612	0.000279405460064471	0.186335356	0.001461926752	0.000272408641779844	0.1943293848	0.001432630762	0.000278402254625015	0.1871486468	0.001435681172	0.000268685788576038	0.1942425338	0.001045820324	0.000203142789633297	0.1844983182	0.0009239983918	0.000170476149306605	0.1944283312	0.0010173428534	0.000197800273244808	0.1854254654	0.0008408362028	0.000155912444229359	0.1943486554	0.001046315708	0.000203350050973699	0.185476618	0.0010250763566	0.00019012769581393	0.1941809288	0.00111214775	0.00021595788305783	0.1856213246	0.001025747378	0.000190400587009337	0.1943237852	0.001215366872	0.000236174690973724	0.186497623	0.001148374732	0.000214169157831262	0.1952531872	0.001295406352	0.000252932218947125	0.1857491652	0.001124049064	0.000208791175281841	0.1950865304	0.001217873382	0.000237590692560894	0.1848211994	0.001038655954	0.000191965639182231	0.1946754444	0.001137377818	0.000221419532169852	0.1859400564	0.001084373808	0.000201628527018203	0.195127978	0.001090881712	0.000212861542699738	0.1854663438	0.0009898910836	0.000183591480035512	0.1952192046	0.001130745222	0.00022074318284409	0.1869178262	0.0009785293048	0.000182904570526213	
0.2023010198	3.473961732E-05	7.02786001129774E-06	0.2043340184	0.00062573746454	0.000127859450592886	0.2035085694	0.00152555359	0.000310463228643934	0.2041170182	0.001537657716	0.000313862108002142	0.2038601854	0.00152699898	0.000311294295168411	0.2025953536	0.0010198838142	0.000206623721968766	0.2014531776	0.001038150382	0.000209138693280554	0.1936044578	0.0007294347738	0.000141221823882015	0.2038245302	0.001429696308	0.000291407178306774	0.1947752248	0.001361606176	0.000265207149019468	0.2025217304	0.001453251004	0.000294314908035617	0.1956411138	0.001399190246	0.000273739138145536	0.2041565526	0.001456100548	0.000297272468118651	0.1945569816	0.001414871218	0.000275273073526796	0.2040410822	0.001466184328	0.0002991618369898	0.1959032766	0.001441323974	0.000282360089148733	0.2044667648	0.0012637072	0.000258386122838467	0.1933866148	0.0009768815868	0.000188915823131704	0.203558951	0.00148775167	0.000302845169293698	0.1939401572	0.001334233978	0.000258761547434901	0.2041686528	0.001331949686	0.000271942372988003	0.193800828	0.001170727116	0.000226887884442852	0.204166229	0.001379651012	0.000281678144456074	0.1940985012	0.001242619226	0.000241190529328904	0.2033731052	0.001381243416	0.000280907762548975	0.1944201824	0.001366330022	0.000265642132095836	0.204136829	0.001450459686	0.000296092240892376	0.1948559026	0.001429060706	0.000278460913737823	0.2030282356	0.00141458204	0.000287200095692649	0.1949472016	0.001414862	0.000275823387550179	0.2046334794	0.001422955998	0.000291184436903839	0.1958490062	0.00144979303	0.000283940524121187	0.203286259	0.001436153266	0.000291950224795772	0.1953838616	0.001438753418	0.000281109198699039	0.2022582956	0.00104819195	0.00021200551726864	0.1937678332	0.000912375093	0.000176788944836259	0.2025125988	0.0010206052954	0.000206685430720496	0.1937564124	0.0008233537056	0.000159530060133302	0.2036834858	0.0010319054566	0.000210182100416329	0.1941512878	0.0010132628606	0.000196726289265402	0.2028327762	0.00110901534	0.000224944660260587	0.194308697	0.0010113371278	0.000196511599530541	0.2026877128	0.001213445506	0.000245950494218579	0.1952464748	0.001137356956	0.000222064936248259	0.2042423964	0.001292939628	0.000264073088023245	0.194499935	0.001108643196	0.000215631029560192	0.204006627	0.001220885464	0.00024906872546397	0.1928801002	0.001035713738	0.000199768569563957	0.2039297316	0.001122362046	0.000228882990798807	0.1947333194	0.001077744122	0.000209872690340899	0.2034291346	0.001100108154	0.000223794049734624	0.1936628628	0.0009692412426	0.000187706033785745	0.2041938316	0.001124020438	0.00022951804003193	0.1955684014	0.0009635736956	0.000188444567279582	
0.2113973918	3.373483344E-05	7.13145580202342E-06	0.2120967784	0.0003285726363	6.96891976296249E-05	0.211818593	0.001526644304	0.000323371648484744	0.2132083206	0.001532248776	0.000326688188272366	0.212523444	0.001534459316	0.000326108578514204	0.211383547	0.001009506493	0.000213393063209871	0.2103764448	0.001030915174	0.000216880269196493	0.202259476	0.0007090352926	0.000143409106746783	0.2125968696	0.001426173802	0.00030320008581073	0.2037898006	0.001357988572	0.000276744220304959	0.2113486004	0.001452195224	0.000306919428099964	0.204133793	0.00139336598	0.000284433082534562	0.2125160372	0.001455009832	0.000309212923583678	0.2034859448	0.001409877604	0.0002868902763023	0.2131419164	0.001463242114	0.000311878228335147	0.204198718	0.00144218956	0.000294493259264984	0.2128516354	0.00125172874	0.000266432509386181	0.2021475236	0.000947265368	0.000191487348333243	0.2129324388	0.001478690194	0.000314861109238065	0.2031418124	0.001312908748	0.000266706662584535	0.2133303402	0.00132705117	0.000283100277558908	0.2019079178	0.001162401192	0.000234698004324958	0.212774957	0.001375358018	0.000292641743139555	0.203013528	0.001223500656	0.000248387184684874	0.2123692826	0.001382879488	0.000293681124788815	0.2030536312	0.001364313556	0.000277028821641185	0.2122058686	0.001451515466	0.000308020100248864	0.2033352526	0.001431112104	0.000290995541165757	0.2118271944	0.001404144554	0.000297436001405859	0.2034284502	0.001408067348	0.000286440958380864	0.213902368	0.001414569912	0.000302579853878352	0.204334052	0.00143733908	0.000293697318314352	0.211526524	0.001439640838	0.000304522222270587	0.2036780308	0.001434910684	0.000292259782491001	0.2116083538	0.001036853946	0.000219406956644094	0.2025021224	0.0008912400584	0.0001804780033939	0.2115024344	0.0010057797186	0.000212724858954047	0.2029720232	0.0008105096598	0.00016451078547275	0.2129548996	0.0010115409092	0.000215412592759979	0.2033326458	0.0009897309692	0.000201244616597634	0.2124225266	0.00110059432	0.000233791026216009	0.2029630696	0.0010030112038	0.000203574232766439	0.2111657908	0.00120370864	0.000254182086858392	0.2039389166	0.001128580774	0.000230161540345149	0.213093361	0.001288776668	0.000274629751762501	0.2035202262	0.001102749064	0.000224431738947118	0.2133205338	0.001215026266	0.000259190051644141	0.2017646716	0.0010241855378	0.000206644458691686	0.2126012306	0.00111512684	0.000237077338459089	0.2030547732	0.001080626172	0.000219426302269444	0.212542652	0.00109671568	0.000233098859117183	0.2020325058	0.0009530998208	0.000192557145073755	0.213502669	0.001121138388	0.000239366038156358	0.2040502958	0.0009524608206	0.000194349912181341	
0.2200872702	3.284918294E-05	7.22968700156501E-06	0.2195367394	2.427919848E-05	5.33017606954464E-06	0.2209188008	0.00152082004	0.000335977739469408	0.2214244912	0.001532569004	0.000339348311939591	0.2214264142	0.001534459316	0.000339769824077665	0.2203752814	0.0009991291714	0.000220183372302224	0.219453811	0.0010174656058	0.000223286704754234	0.2111047446	0.0006905921122	0.000145787271468756	0.2216526664	0.001420219506	0.000314795440378191	0.2122957894	0.001353730512	0.000287391287679906	0.2200892314	0.001451104508	0.000319372475846795	0.2127558308	0.001387957042	0.000295295953585421	0.2212357252	0.00144969599	0.000320724543667182	0.2125372984	0.00140671026	0.000298978398291962	0.2209160874	0.001462601658	0.000323112235710113	0.213529732	0.001436460392	0.000306727002532375	0.2209790224	0.001249617178	0.000276139182368687	0.2109858046	0.0009186098312	0.000193813634349202	0.2208924366	0.001474657264	0.00032574063619485	0.212077763	0.001295010926	0.000274643020246638	0.2221730644	0.001321157038	0.000293525507686087	0.2106269794	0.001141075962	0.000240341383142009	0.2210773666	0.001376829126	0.00030438575743426	0.2123661114	0.00120844995	0.000256633816703024	0.2213058596	0.001381148316	0.000305656215307472	0.2125311492	0.001360020564	0.000289046733402552	0.2209547398	0.001449559166	0.000320286968348235	0.2120448016	0.001429285836	0.00030307263152431	0.2207041714	0.001399116008	0.000308790739238116	0.2129446642	0.001398970938	0.000297903396617969	0.222051951	0.001412293384	0.000313602501301592	0.2133105972	0.001431765174	0.000305410684316102	0.2204491648	0.001437018852	0.000316789605725255	0.2129221792	0.001430902984	0.000304670981577063	0.219543592	0.001036723914	0.000227606091991859	0.2118648638	0.0008753587004	0.000185457751836391	0.220401588	0.0009977740244	0.000219910979442911	0.211299173	0.0007953289214	0.000168052343354802	0.2207962848	0.000988104115	0.000218169717587592	0.2117295732	0.0009717380484	0.000205745682249933	0.2207889794	0.001100083896	0.000242886400652216	0.2116003158	0.000991257873	0.000209750478966036	0.220545013	0.001198004704	0.000264213963017741	0.2118652686	0.001126174214	0.000238597202339504	0.2211605022	0.00128474374	0.000284134570736706	0.2121048596	0.001087153	0.000230590434428719	0.2219400272	0.00121508643	0.000269676315324551	0.2108287278	0.0010102255474	0.000212984566949401	0.2208884318	0.001121531396	0.000247733311276905	0.2113115188	0.001075727658	0.000227313645227147	0.2217519018	0.001100843708	0.000244114185833564	0.2109082104	0.0009301132872	0.000196168528872613	0.2216084868	0.001122289268	0.00024870882643336	0.212435793	0.0009415730754	0.000200023822940048	
0.228789851	3.104925302E-05	7.1037539721071E-06	0.2283699318	2.408156636E-05	5.49950566727037E-06	0.2296657734	0.001519799194	0.000349045857302707	0.2296793574	0.001537182226	0.000353059025874382	0.2296146928	0.001536830942	0.000352878964632865	0.2288698592	0.0009926896814	0.000227196747611311	0.2287195094	0.0010009437932	0.000228935373317679	0.220298786	0.0006667050592	0.000146874315161818	0.2299690316	0.001420694996	0.000326715852429086	0.2207428046	0.001344989264	0.00029689670229225	0.2288444442	0.001445115278	0.000330706602598839	0.2207297454	0.001387896878	0.000306350124522395	0.2300727534	0.001449185566	0.000333418113357157	0.221692644	0.001400755962	0.000310537292814544	0.2290986508	0.00146023003	0.000334536729730644	0.2216919982	0.00143828666	0.000318856643639804	0.2300360914	0.001232454908	0.000283509109863067	0.219434699	0.0008947829422	0.000196346425591991	0.2298600762	0.001464054812	0.000336527750647297	0.2213384112	0.001271184036	0.000281361854871044	0.2306232504	0.001317634532	0.000303877158609123	0.21965234	0.001122537684	0.000246568029028781	0.2301857954	0.001369013628	0.00031512749087462	0.2207122864	0.001196636456	0.000264112368193353	0.2304739078	0.001380793154	0.000318236794065867	0.2209388422	0.001359475206	0.000300360878013246	0.2291493602	0.001448148222	0.000331842238546068	0.220109437	0.001434279448	0.000315698441799951	0.229434644	0.00139280655	0.000319558074960118	0.2216332894	0.001392021024	0.000308518198463076	0.230618793	0.00140639925	0.000324342097511105	0.2219015722	0.00142353435	0.000315884510345705	0.2292760348	0.001433176118	0.000328592937505097	0.2209544412	0.0014358015	0.000317246718106622	0.2285188456	0.001038385218	0.000237290591305464	0.2207684604	0.000863285142	0.000190586131685535	0.228883463	0.0009914645664	0.000226929843399425	0.219876819	0.000783255363	0.00017221969768113	0.2290467082	0.0009660083978	0.000221261043609646	0.220248872	0.0009665193056	0.000212874786824623	0.2294427062	0.001098672952	0.000252082495335623	0.2201506964	0.0009788990212	0.000215505301222458	0.2293858384	0.001193141124	0.000273689677058258	0.2211500114	0.001114420882	0.000246454190758698	0.2292244726	0.00128278744	0.000294046274391904	0.2212532564	0.00106755894	0.000236200891873932	0.2297205208	0.001216687568	0.000279498101771845	0.2195807698	0.0009966808818	0.000218851955270587	0.2290285022	0.001120821072	0.000256699971354358	0.2203311642	0.00106340374	0.000234300984048834	0.2298431374	0.001093288274	0.000251284806978791	0.2200940116	0.0009060962022	0.000199426348037723	0.2303522692	0.001119762378	0.000257939804737088	0.221104767	0.0009289541594	0.000205396192967818	
0.237817756	2.981359052E-05	7.09020119576927E-06	0.2373471034	2.240538738E-05	5.31785379519791E-06	0.2378825896	0.00152309657	0.000362318156282478	0.2387300848	0.00152940166	0.000365114187985061	0.2376609102	0.001538371918	0.000365610870258	0.2374766692	0.0009805559582	0.00023285916291755	0.2379572968	0.0009960802128	0.000237024554833857	0.2289106848	0.000644894635	0.000147623272521696	0.2385409818	0.0014243126	0.000339756925994111	0.229752311	0.001340506074	0.000307984368411037	0.2379256076	0.001436694256	0.00034182635379423	0.2298952494	0.001381302126	0.00031755479675352	0.2386161468	0.001442746076	0.00034426250946594	0.2309418618	0.001397233458	0.000322679696159772	0.2376515566	0.001460490092	0.000347087743762677	0.229890416	0.001437100848	0.000330375711780673	0.2387469126	0.001219490534	0.000291149599937425	0.2289103184	0.000858407005	0.00019649822083134	0.2386064032	0.00146414991	0.000349355543770704	0.2300955228	0.001254947516	0.000288757804780581	0.2393689508	0.0013157481	0.000314949242214093	0.2292319516	0.00110694162	0.000253746387859866	0.238993014	0.001361423258	0.00032537064775912	0.228943039	0.001193719472	0.000273293763633155	0.238428171	0.001378361364	0.000328640178995585	0.2295868732	0.00135883475	0.000311970621448004	0.2381373166	0.00144430549	0.000343943033739248	0.229223581	0.00142726937	0.000327163796043014	0.2383661516	0.00138348501	0.000329775997629988	0.2304176856	0.001376520058	0.000317174565946338	0.2393587782	0.00140086028	0.00033530820504971	0.2302217346	0.001414247744	0.000325590568777817	0.2380902216	0.001431860272	0.000340911929460716	0.2298694682	0.00142888652	0.000328457384470549	0.237549902	0.00103540807	0.000245961085558509	0.2299231796	0.0008465983624	0.000194652587327161	0.2374833048	0.0009867562474	0.000234338134664598	0.228533736	0.0007740987886	0.000176907688191832	0.2376636766	0.0009388841324	0.000223138654807585	0.2288588528	0.0009540304216	0.000218338307823676	0.2384014792	0.00109149791	0.000260214716287708	0.2291075516	0.0009654145196	0.000221183756864646	0.2379882054	0.001191479822	0.000283558144608091	0.2290554398	0.00111739803	0.000255946097193304	0.2381337652	0.001271804598	0.000302859617520412	0.2297750802	0.001060929254	0.000243775104424376	0.2386311048	0.00121393555	0.000289682781452496	0.2288838918	0.0009840018024	0.000225222162071527	0.2380602044	0.00111710837	0.000265939046899151	0.2297015004	0.00105658386	0.000242698897940424	0.2379895494	0.001101138708	0.000262059504943818	0.2287230176	0.000888898999	0.000203311661392899	0.2381473642	0.001124080602	0.000267696832514649	0.2301193622	0.0009267125648	0.000213254504354502	
