Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
0.0443529704	0.001201929066	5.33091242871976E-05	0.04077946094	0.001188143996	4.84518716759775E-05	0.04542514704	0.001196562986	5.43540495816715E-05	0.04110189532	0.001180606268	4.85251552414719E-05	0.04542850928	0.001184389676	5.38050573873022E-05	0.03942182876	0.001185473422	4.67335302416152E-05	0.04485208426	0.001157968156	5.19372853033088E-05	0.0394530551	0.001178052752	4.64777801353626E-05	0.04548731442	0.001226492014	5.5789827874437E-05	0.04011964604	0.001231870562	4.94222109145359E-05	0.04452627706	0.0007301998948	3.25130828250477E-05	0.03931042008	0.0008403982722	3.30364091146882E-05	0.04484546002	0.001025185	4.59748929306037E-05	0.03928135798	0.001057383798	4.153547149149E-05	0.04490690022	0.0010069781394	4.52202668297571E-05	0.03977945162	0.00102913233	4.09383197318129E-05	0.04546883778	0.001025046472	4.66076717523293E-05	0.03990660556	0.001053407836	4.20379310050652E-05	0.0453997132	0.00125842738	5.71322421350274E-05	0.04043181298	0.001275083426	5.15539346139297E-05	0.04561812018	0.00126266931	5.76006003311777E-05	0.0421839625	0.001244732118	5.25077329882576E-05	0.04433211994	0.001203804952	5.33672255164299E-05	0.04092642586	0.00119430984	4.88788331206285E-05	0.04374202476	0.001185062686	5.18370413531641E-05	0.04005377476	0.001183258832	4.73939827397087E-05	0.04534725566	0.001342258262	6.08677285686613E-05	0.03989324238	0.001325801926	5.28905375817888E-05	0.0462437311	0.001434259478	6.63255096282584E-05	0.04162928768	0.001423970834	5.92788914965155E-05	0.04664489772	0.001424586814	6.64497062322907E-05	0.0433756563	0.001408510968	6.10950876427483E-05	0.04652343704	0.00144040639	6.70126559971787E-05	0.04091072256	0.001424465144	5.82758983025744E-05	0.04446327408	0.001400347096	6.22640167365801E-05	0.04153043446	0.001392210012	5.78190866579218E-05	0.04547266842	0.00135373016	6.15577226958336E-05	0.04174813502	0.001334652658	5.57192593709859E-05	
0.04861368326	0.001201776686	5.84227911624565E-05	0.04491067494	0.001187686856	5.33398183203266E-05	0.04998607758	0.001195755834	5.97711438850616E-05	0.04571032506	0.00118095628	5.39818954404484E-05	0.05027558208	0.001182103978	5.94309655730335E-05	0.04382764056	0.001184225754	5.1901820688207E-05	0.04958849002	0.00115648961	5.73485734837187E-05	0.04471456322	0.001174367004	5.251130764384E-05	0.05011781534	0.001226080128	6.14484574471476E-05	0.04502392066	0.0012313968	5.54423118241779E-05	0.04891223932	0.0006930810732	3.39001473205208E-05	0.04401144258	0.000806891316	3.55124508224346E-05	0.04989496088	0.00102216603	5.10009340797149E-05	0.04385326138	0.00105646952	4.63296340005631E-05	0.04841535332	0.0010073115274	4.87693435023799E-05	0.0446505588	0.001027258518	4.58676668607599E-05	0.0488560991	0.001024910714	5.00731394118358E-05	0.04515333564	0.001052143546	4.75077906739978E-05	0.05076554078	0.001256294062	6.37764474361328E-05	0.04507924694	0.001274321526	5.74454547515116E-05	0.05055587938	0.001261055008	6.37537448759929E-05	0.04562303702	0.001245584522	5.6827348758745E-05	0.04944218536	0.001200469218	5.93538215953302E-05	0.04539869974	0.001194659852	5.42360039123809E-05	0.04812500598	0.001184498418	5.70039934495505E-05	0.04453657534	0.001182801694	5.26779367571106E-05	0.04964754238	0.001341055846	6.65801269482318E-05	0.04512005832	0.00132249482	5.96710434062979E-05	0.05126856528	0.001432797554	7.34574749302733E-05	0.0462405105	0.001422949426	6.5797907873922E-05	0.05098526334	0.001425517716	7.26803961460953E-05	0.04672315582	0.001408787098	6.58229790970596E-05	0.05034866312	0.001439903998	7.24972413204431E-05	0.0459772837	0.001423110348	6.54307482064017E-05	0.0488933767	0.001398868548	6.8395406871146E-05	0.0456485205	0.001390014818	6.34521199147768E-05	0.05035722074	0.00134685644	6.78239470541706E-05	0.04653457866	0.001326576522	6.17316795115182E-05	
0.05197323232	0.001202431458	6.24942495155103E-05	0.04927190404	0.001187443972	5.85076254412604E-05	0.05380901754	0.001194886806	6.42956851023686E-05	0.0509619388	0.001180589646	6.01651372873657E-05	0.05421292766	0.001181173076	6.40348505231277E-05	0.04877637074	0.001182747208	5.76901163091079E-05	0.05304348184	0.001157951534	6.14217811653291E-05	0.04931703472	0.001173147964	5.78561788722853E-05	0.05493882398	0.001225346858	6.73191153461081E-05	0.04921113274	0.001230680152	6.05631643205554E-05	0.0527831874	0.0006627288428	3.49809407048975E-05	0.047596125	0.0007833509294	3.72844687545886E-05	0.05464735044	0.001018875548	5.5678849126303E-05	0.04816521594	0.00105448858	5.0789670161964E-05	0.0532914714	0.0010043996856	5.35259371193214E-05	0.0487515219	0.001027394276	5.00870345463486E-05	0.05326203822	0.001024317818	5.4557254771743E-05	0.04891641168	0.00105314833	5.15162372703845E-05	0.05525823586	0.00125563929	6.9384412041903E-05	0.04982218636	0.001272402462	6.33938725866868E-05	0.05480930108	0.001260840754	6.91058004999202E-05	0.0506152088	0.001243755964	6.29529678141053E-05	0.0534913979	0.001198990672	6.41356871143404E-05	0.04941576262	0.001195421752	5.90726775276165E-05	0.05289477296	0.001183172252	6.25836276421119E-05	0.0487572074	0.001182604062	5.76604715230165E-05	0.0532499174	0.001339120158	7.13080378021749E-05	0.0498539293	0.001320559132	6.58350616031974E-05	0.05505719666	0.001433757086	7.89386458465705E-05	0.05018312134	0.001421928018	7.13567862640397E-05	0.05578584896	0.001423536778	7.94132076865131E-05	0.05087948282	0.001409091858	7.16938649809129E-05	0.05503598814	0.00143979687	7.92406434613291E-05	0.05080234996	0.001421648424	7.22230807561305E-05	0.05307323308	0.001396261468	7.4104110331787E-05	0.0495550455	0.001388598146	6.88120443062456E-05	0.05456035016	0.001341477892	7.31915035194187E-05	0.05118144112	0.001319138536	6.7515411309407E-05	
0.05599391048	0.001202081446	6.7309240876993E-05	0.05378235628	0.001186574946	6.38167964986938E-05	0.0580522278	0.00119277011	6.92429621387511E-05	0.0545553061	0.0011823277	6.4502249584009E-05	0.05834877286	0.001179299266	6.88106650057987E-05	0.05390907696	0.00118142104	6.36893177675232E-05	0.05727026594	0.001156399106	6.62272843333982E-05	0.05395990226	0.001169874104	6.31262923083451E-05	0.05871927366	0.001224980222	7.19299488837055E-05	0.05417000992	0.001229003972	6.65751573549594E-05	0.05646451834	0.0006324504936	3.57110124950193E-05	0.05153277374	0.0007573392178	3.9027790555316E-05	0.05797684038	0.00101843503	5.90456451717105E-05	0.0523726593	0.00105250764	5.5122624040367E-05	0.0579620532	0.0010018997314	5.80721655324725E-05	0.05317990996	0.001026220488	5.45743131509473E-05	0.05822878008	0.001022291628	5.95267943844372E-05	0.05304470928	0.001053193582	5.58663473727519E-05	0.05928277986	0.001255808294	7.44478066395642E-05	0.05394135096	0.001271076294	6.85635724715901E-05	0.0592014154	0.00126029311	7.46111359308679E-05	0.05537438452	0.001242491672	6.88022116082257E-05	0.05802537762	0.001197771634	6.95011513653744E-05	0.05382233782	0.001196550286	6.44011337117096E-05	0.05781813778	0.001181953214	6.83383337765658E-05	0.05371386686	0.001181277896	6.34510036304049E-05	0.05803344662	0.001335203532	7.74864629011575E-05	0.05422727056	0.001318792448	7.15145148901807E-05	0.0595417746	0.00143377371	8.53694310682258E-05	0.05383654816	0.0014205566	7.64778638099059E-05	0.05943033268	0.001423491526	8.45985749573409E-05	0.05559153908	0.001408679972	7.83106877146513E-05	0.05964638706	0.001438244442	8.57860846744257E-05	0.05533100174	0.001422348448	7.86999644511743E-05	0.05749914902	0.001392678232	8.00778131986781E-05	0.05399839954	0.001385460042	7.48126248946212E-05	0.05918304914	0.001334666048	7.89896063042736E-05	0.05505689114	0.001314019494	7.23458282369959E-05	
0.06141148682	0.001199017226	7.3633430571452E-05	0.05790126838	0.001186591568	6.8705156836213E-05	0.06223151076	0.001189965396	7.40533443452017E-05	0.05841623448	0.001183789624	6.9152532250575E-05	0.0618680072	0.001179085012	7.29476400118281E-05	0.05815792836	0.001181099656	6.86903091796687E-05	0.06144587296	0.001155241942	7.09848496061957E-05	0.05885295156	0.001166645496	6.86605308637802E-05	0.0620921387	0.00122523973	7.60777552559105E-05	0.05922896098	0.00122822545	7.27465172526929E-05	0.06166190948	0.0005871650324	3.62057170776701E-05	0.0555346143	0.0007299893334	4.05396760734831E-05	0.06212891804	0.001016392214	6.31473485601001E-05	0.05676731034	0.001051090968	5.9667607176027E-05	0.06256268492	0.0009985639966	6.24728446917418E-05	0.05747524856	0.00102519908	5.89235719464833E-05	0.06245074518	0.001021089212	6.3767782184659E-05	0.05743752042	0.00105360547	6.05164856977487E-05	0.06312931384	0.001255853546	7.92811726425109E-05	0.05932157498	0.001268592964	7.52549326330264E-05	0.06427431662	0.001258966944	8.09192399727698E-05	0.05871554228	0.001242615422	7.29608383482211E-05	0.06184869932	0.001196812104	7.40212719628326E-05	0.0582739363	0.001196426534	6.97204836299458E-05	0.06292940904	0.001179939028	7.4252865735272E-05	0.05784951832	0.001181627908	6.83566053112693E-05	0.06259856406	0.001332353566	8.34034200518204E-05	0.0581361444	0.001317832916	7.66137246996491E-05	0.06296562882	0.001434428482	9.0319691366448E-05	0.05863650158	0.0014182709	8.3162443868718E-05	0.06303061342	0.001423063014	8.96965347077341E-05	0.05879768024	0.00141020377	8.29167103417025E-05	0.0633978561	0.001438306316	9.11855368494891E-05	0.05933183034	0.00142330798	8.44474675909281E-05	0.06172777306	0.001389325874	8.57599922566581E-05	0.05805953826	0.001383174344	8.03064637457184E-05	0.06259123864	0.001331025554	8.33105380863522E-05	0.0589743872	0.001307574286	7.71133922353275E-05	
0.06619900912	0.00119692916	7.9235524378834E-05	0.06199119602	0.00118625356	7.35372769673829E-05	0.06658037534	0.001187984456	7.90964509785657E-05	0.06325138512	0.001183377736	7.48502809221697E-05	0.06609656862	0.001178520746	7.78961773580826E-05	0.06250209724	0.001180856772	7.38060247900565E-05	0.06610446798	0.00115336813	7.62427866187375E-05	0.06302399208	0.001165578838	7.34594314547276E-05	0.06751390188	0.001222999284	8.25694536592863E-05	0.06298905414	0.001228513588	7.73829089062577E-05	0.06539555874	0.0005552271274	3.63093882239282E-05	0.06057847216	0.0006948680738	4.20940462635661E-05	0.06711284558	0.001014151768	6.8062611000468E-05	0.0610124858	0.001049719548	6.40459990163324E-05	0.06680507118	0.0009975139606	6.66389911409267E-05	0.06186958254	0.001024087168	6.33598455687308E-05	0.06623620574	0.001021941616	6.76895351316441E-05	0.06095447052	0.001054824508	6.42962693766595E-05	0.06747005932	0.001254894014	8.46677735648929E-05	0.06283808078	0.00126789294	7.96719589841117E-05	0.0681501484	0.001258386054	8.57591963245904E-05	0.06302965396	0.00124211303	7.82899544601071E-05	0.06720076682	0.001194859794	8.02954943991872E-05	0.06200625258	0.001198102714	7.42898595010675E-05	0.06711104084	0.001179420014	7.91521047270674E-05	0.0623120271	0.001181780288	7.36391253321018E-05	0.0673673153	0.001328239308	8.94799162558898E-05	0.06298619644	0.001314632938	8.28037284793623E-05	0.0674517923	0.001433942714	9.67220061148263E-05	0.06219835154	0.001418135142	8.82056680933438E-05	0.06711578662	0.001422329744	9.54607796015832E-05	0.06326500998	0.00140898473	8.91394330051176E-05	0.06747497478	0.001437651544	9.70055016738281E-05	0.06369128422	0.00142330798	9.06523130867741E-05	0.06608037818	0.001384709224	9.15021091912544E-05	0.06199250726	0.001381695798	8.56547867886265E-05	0.06720537622	0.001323773194	8.8964675532721E-05	0.06291940762	0.001302055364	8.19245521913235E-05	
0.07091563202	0.001194660086	8.47200750477575E-05	0.06669126552	0.00118488214	7.90212894086458E-05	0.07049990128	0.001185636882	8.3587283134927E-05	0.06702112022	0.001184415766	7.93808714435494E-05	0.0699337152	0.00117858262	8.24226612867498E-05	0.06686592778	0.001182471074	7.9067025436023E-05	0.07083180936	0.001150839546	8.15160473262209E-05	0.06701004272	0.00116473844	7.80491726220261E-05	0.07192199622	0.00122176362	8.78716784593735E-05	0.06645546136	0.001228270702	8.16252961763811E-05	0.06924564344	0.0005232107236	3.623006321039E-05	0.06400492578	0.0006724229754	4.30383826332438E-05	0.07059409352	0.001013604124	7.15544643219137E-05	0.06533465008	0.001048133872	6.84794597641155E-05	0.07130023856	0.0009958544056	7.1004656690307E-05	0.06549485092	0.001024499056	6.70994129404007E-05	0.07093399298	0.00102137735	7.2450373774831E-05	0.06480759888	0.00105547928	6.84030778043912E-05	0.07092834942	0.001256294062	8.91068642038072E-05	0.06727407916	0.00126540961	8.51292662729647E-05	0.07182374008	0.001258583686	9.03961875321923E-05	0.06770518208	0.001242310662	8.41108695706353E-05	0.0711166168	0.00119514793	8.49948773571232E-05	0.06686429654	0.00119831697	8.01246212309943E-05	0.07123204546	0.001179143884	8.3992830748969E-05	0.06635870686	0.001182694566	7.84820820101089E-05	0.0721814734	0.001324017922	9.55695644179663E-05	0.06724741836	0.001312087732	8.82345126388276E-05	0.0712558341	0.001434856994	0.000102241931921689	0.06645938164	0.001416520838	9.41410989736546E-05	0.07105028046	0.001421398842	0.000100990786369619	0.0685196676	0.001408572844	9.65149430612667E-05	0.07178546934	0.001436477758	0.000103118230054501	0.06822069754	0.001422941344	9.70740510461851E-05	0.07033899878	0.001379956818	9.70647809377547E-05	0.06602986416	0.001379669606	9.10993966698607E-05	0.07085499614	0.001319049418	9.34612414208592E-05	0.06681350544	0.001295593532	8.65631454983108E-05	
0.0755824715	0.001192633894	9.0142217303189E-05	0.0704269446	0.001184515504	8.34218077780491E-05	0.0746384713	0.001184874982	8.8437257338095E-05	0.07105302394	0.001184568146	8.41671488362994E-05	0.07539619154	0.001176358796	8.86929731029798E-05	0.0705305156	0.001184497264	8.35432027567093E-05	0.07537676024	0.001150049018	8.66869690940334E-05	0.07109286908	0.001162271732	8.26292320784608E-05	0.07582490618	0.001221701744	9.26354201187424E-05	0.07120043074	0.001227068286	8.73677905105935E-05	0.0728365387	0.0004920633472	3.58401910311843E-05	0.06904409002	0.0006360374242	4.39146251725537E-05	0.07437365854	0.001013954136	7.54114786860847E-05	0.06936445944	0.001046779076	7.26092647598427E-05	0.07492455572	0.0009954591414	7.45843339068077E-05	0.06938203538	0.001023618022	7.10207018180096E-05	0.07466130048	0.001021270222	7.62493629160183E-05	0.07004608484	0.001054124484	7.38372930381852E-05	0.07563583742	0.00125594405	9.49943799744164E-05	0.0715720192	0.001264281076	9.04871494456687E-05	0.07661031122	0.00125677175	9.6281674900004E-05	0.07198821882	0.001242203534	8.94240198245693E-05	0.07552198648	0.001194600286	9.02185866482961E-05	0.07068552586	0.001199412258	8.478108617966E-05	0.07502397706	0.001178901	8.84458415800111E-05	0.0710443174	0.001183196958	8.40594202308665E-05	0.07692600044	0.001321975108	0.000101694257739677	0.07072270418	0.001311021074	9.27189555902479E-05	0.07615433872	0.001432661798	0.000109103411836096	0.07077431548	0.001414951788	0.000100142244232902	0.07491748818	0.001421794106	0.000106517243130649	0.0724918308	0.001409548998	0.000102180787467326	0.07547326754	0.001435134968	0.000108314325395873	0.07237746902	0.001423596116	0.000103036283782782	0.07542204706	0.001374533016	0.000103670093818276	0.07097808758	0.001374929206	9.75898455997679E-05	0.07517532252	0.001312344702	9.86559362302633E-05	0.0716554404	0.001285507828	9.21136295529875E-05	
0.07988364518	0.00119086721	9.51308136601365E-05	0.0751972814	0.001182184552	8.88970644234769E-05	0.07822822738	0.001185406004	9.27322104185292E-05	0.07497622968	0.001184658652	8.88212391847512E-05	0.07978057056	0.001176054036	9.38262620014708E-05	0.07419694142	0.001185490042	8.79597352002674E-05	0.08039074904	0.001147639568	9.2259604499462E-05	0.07564606436	0.00116027417	8.77701745390656E-05	0.07985769666	0.001222587394	9.76330132503919E-05	0.075159785	0.001226154008	9.21574716181683E-05	0.07712407738	0.000455204033	3.51071910647801E-05	0.07386750644	0.0006023328358	4.449282462748E-05	0.07868307658	0.001013739882	7.97641727676062E-05	0.07460484798	0.001043945734	7.78834127844395E-05	0.07958397494	0.0009927329264	7.90056323367305E-05	0.0736725551	0.001023115632	7.53755427721913E-05	0.07885441038	0.001021817866	8.05748453391798E-05	0.07488320082	0.00105342446	7.88837953868801E-05	0.07974282742	0.001256294062	0.000100180440574837	0.07640907252	0.001262469142	9.64640962253402E-05	0.08032493508	0.001256602746	0.0001009365339938	0.0757330936	0.001243924966	9.42062858814548E-05	0.08046799034	0.001193381246	9.60289905750652E-05	0.07557920952	0.001198831368	9.06067271412202E-05	0.07900527142	0.001177134316	9.2999816133376E-05	0.07451047022	0.001184325492	8.82446493024528E-05	0.08055722908	0.001321213208	0.000106433275060378	0.07547414462	0.001305749652	9.85503380725627E-05	0.08031206152	0.001430787986	0.000114909532753709	0.07555974546	0.001414494648	0.000106878855557412	0.08012857712	0.001421534598	0.000113905544664591	0.0763390617	0.00140941324	0.000107593284289157	0.07955489018	0.001434373068	0.00011411139190189	0.07671447406	0.001422681836	0.000109140288803455	0.07932051968	0.001371333038	0.000108774849228513	0.07538726236	0.00137081495	0.00010334198628266	0.07909212382	0.001305289974	0.000103238156244613	0.0757196856	0.001276776922	9.66771471151757E-05	
0.0835592041	0.001190579072	9.94838396744366E-05	0.08042416034	0.001179820356	9.48860614833399E-05	0.08343963536	0.001183334562	9.87370043621653E-05	0.07981708816	0.001182039564	9.4346956088396E-05	0.0845269983	0.001175489768	9.93606216214034E-05	0.0783056441	0.00118754948	9.29918269320201E-05	0.08546650622	0.001145399122	9.78932611847955E-05	0.07968164602	0.001159055132	9.23554207456884E-05	0.0843662466	0.001222649268	0.000103150329649397	0.07891550164	0.00122505872	9.66761234272563E-05	0.0806392523	0.000426770866	3.44144835376635E-05	0.07816145156	0.0005727711338	4.4768623229475E-05	0.08252770816	0.001014716038	8.37421890493355E-05	0.07950240136	0.001041536284	8.28046356815709E-05	0.08421219388	0.0009906734888	8.34267879106016E-05	0.0780971402	0.001021287074	7.97595998026258E-05	0.08340513162	0.001021389356	8.5189113672447E-05	0.07905494022	0.001053012572	8.32458459303684E-05	0.08416417708	0.001256796454	0.000105777239307972	0.0804824508	0.001262333384	0.000101595684470977	0.08398781032	0.00125623611	0.000105508520123815	0.08065715548	0.001244839246	0.000100405192612228	0.08520668258	0.001193212242	0.000101669656754664	0.07994544972	0.00119925988	9.58753704377532E-05	0.08367065278	0.0011766938	9.84547383681788E-05	0.07978396362	0.001182756442	9.43649969398486E-05	0.0850797311	0.001319006008	0.000112220676479924	0.0797949134	0.001302335418	0.000103919741897063	0.0847083609	0.001429918958	0.000121126091152016	0.07924462722	0.001414494648	0.000112091101085445	0.08457485174	0.001422144118	0.000120277627932763	0.08065945074	0.00140941324	0.000113682497804084	0.08410472474	0.001433108778	0.000120531219296168	0.08114146676	0.001422636584	0.000115434819092196	0.08457644584	0.001366411628	0.000115566239050688	0.0797439252	0.00136635068	0.000108958166422889	0.08386988292	0.001297044836	0.000108782998537311	0.07942536822	0.001269738816	0.000100849473004027	
0.08769853564	0.001188660008	0.000104243742075431	0.08424830622	0.0011796846	9.93864294238182E-05	0.0883083315	0.001180941736	0.000104286994304873	0.0845061242	0.001179646738	9.96873737535529E-05	0.08888531124	0.00117474449	0.000104417529621125	0.08264404478	0.001187747112	9.81602255114437E-05	0.08994023876	0.001143203928	0.00010282003423569	0.08382630542	0.001157852716	9.70585154027925E-05	0.08827943084	0.001222587392	0.00010792931911792	0.08334281338	0.001223246784	0.000101948828436597	0.0846200378	0.0003937663018	3.33205193426822E-05	0.0824665576	0.0005412737454	4.46369825023968E-05	0.08613483786	0.00101491367	8.74194244073476E-05	0.0838383906	0.001040057738	8.71967668849965E-05	0.08804655134	0.000989742586	8.71434214116334E-05	0.08261983206	0.001020553804	8.43179838946742E-05	0.08812264138	0.001019227408	8.98170113598509E-05	0.08420255006	0.001050360238	8.84430105212285E-05	0.08901340726	0.001256034554	0.000111803915287834	0.0855825595	0.00126120485	0.000107937139116814	0.08870202388	0.00125516945	0.000111336070527346	0.08414467882	0.00124843449	0.000105049119188861	0.08882351494	0.001192833602	0.000105951673268181	0.08403867758	0.001199474134	0.000100802220012776	0.0885248292	0.001174972368	0.00010401422819192	0.08440482488	0.001182315926	9.9793168686865E-05	0.08924271924	0.001318396488	0.000117657287625586	0.08410934234	0.001299242566	0.000109278437766394	0.08883050682	0.001428530914	0.000126897125098658	0.08393423478	0.001413885128	0.000118673366285502	0.0895214918	0.001421246462	0.000127232103493712	0.08491172774	0.001409796498	0.000119708256406981	0.08892585902	0.001432116	0.000127352145516286	0.0860197402	0.001422286572	0.000122344721413389	0.08908017488	0.001362799764	0.000121398441303543	0.08495596736	0.001359357828	0.000115485559266128	0.08767525778	0.00129018774	0.000113117542689096	0.08465320042	0.001258129314	0.000106504672972319	
0.09196457488	0.00118797199	0.000109251339029698	0.08925519184	0.001177872664	0.000105131250588412	0.09253093112	0.00118019646	0.000109204677348328	0.08872402998	0.001177496796	0.000104472261029658	0.0938518636	0.001172244536	0.000110017334298517	0.08692853986	0.001186787582	0.00010316571162724	0.09366329696	0.00114355394	0.000107109032271998	0.08853075172	0.00115454561	0.000102212790748326	0.091955117	0.00122330404	0.000112489066124773	0.08871485788	0.00122074683	0.000108298381530911	0.08850956734	0.0003614950082	3.19957667713518E-05	0.08676842814	0.0005117120436	4.44004496834791E-05	0.09054718172	0.00101445653	9.18561797689507E-05	0.08843388644	0.00103693626	9.17003034623583E-05	0.09248553286	0.0009875473918	9.13338467551262E-05	0.08747743192	0.001018070474	8.90581905790971E-05	0.09243960704	0.00101863451	9.41621738217829E-05	0.08832184214	0.00104918645	9.2666080012327E-05	0.0932448853	0.001254617882	0.000116986700502419	0.08949232028	0.00126120485	0.000112868148374889	0.09321063648	0.001254667058	0.000116948315046669	0.08820461012	0.00125117733	0.000110359608583633	0.09259534072	0.001192545466	0.000110424153748361	0.08870564444	0.00119869561	0.000106331066572449	0.09332909494	0.00117311518	0.000109485778009775	0.08855443056	0.001181554028	0.000104631844125414	0.09340164788	0.00131763459	0.000123069242009688	0.08807820754	0.001297718768	0.000114300742976457	0.09295556924	0.001427249998	0.000132670836011879	0.0883553946	0.00141362562	0.00012490144947177	0.09411755722	0.001420636942	0.000133706878677531	0.0888897886	0.001410360764	0.000125366670161694	0.0937019037	0.001431308848	0.000134116363840254	0.08964088848	0.001423048472	0.000127563329380186	0.09361079214	0.00135857838	0.000127177598336078	0.08889787972	0.00135600547	0.000120546011171722	0.09207250848	0.001281547338	0.000117995278145526	0.08875796892	0.001249641292	0.000110915622956485	
0.09683885342	0.00118579342	0.000114830875185781	0.09414405664	0.001177567904	0.000110861019451622	0.09655725466	0.001178277398	0.000113771230778808	0.09289614728	0.001175577732	0.00010920664213096	0.09733095472	0.001172685052	0.000114138555697033	0.09129154464	0.00118517328	0.000108196299397255	0.09842684774	0.001139942074	0.000112200904950018	0.0935293285	0.00115163377	0.000107711533186023	0.09699079536	0.001221142092	0.000118439542750654	0.0928631325	0.001220104064	0.00011330268535902	0.09332791236	0.0003199571692	2.98609346460513E-05	0.0911592099	0.00047984802	4.37425663752794E-05	0.09488101416	0.00101361613	9.61729263833344E-05	0.09246135102	0.001036112486	9.58003602642508E-05	0.09654933388	0.0009865878602	9.52544007164046E-05	0.0919417789	0.001016287168	9.34392500991632E-05	0.09640986602	0.001018284498	9.8172672022423E-05	0.09247354028	0.001048148418	9.69259949513413E-05	0.09692330014	0.001254691762	0.000121608866231511	0.09322375008	0.001260719082	0.000117528960621455	0.09705323846	0.001254576554	0.000121760717461687	0.09162694172	0.00125381304	0.000114883054343856	0.09656224078	0.001193566872	0.000115253491681095	0.09386929692	0.001197797954	0.000112436451794194	0.09849477726	0.001170874732	0.000115325045927702	0.09321359744	0.001179894472	0.000109982208334689	0.09714030634	0.00131748221	0.0001279806254769	0.09237164388	0.001295433068	0.000119661282027672	0.09630738122	0.001427645264	0.000137492776686976	0.09312680998	0.00141286372	0.000131575491180076	0.09811166268	0.001420394058	0.000139357222691172	0.09311371914	0.00140968937	0.000131261420072824	0.09786507992	0.001431720736	0.000140115464251761	0.09355388294	0.001423093724	0.000133135943667745	0.09725591042	0.001356856948	0.000131962357787443	0.0932535288	0.001351676956	0.000126048645944642	0.0956360714	0.001276428296	0.000122072587653236	0.09255167594	0.001243348464	0.000115073984120625	
0.10100710296	0.001184953022	0.000119688671895917	0.09764141386	0.001179396464	0.000115157938246445	0.10184311294	0.001174834536	0.00011964880633566	0.09756970856	0.00117355154	0.000114503081737939	0.10119911204	0.00117294456	0.000118700947944148	0.09530004638	0.00118428763	0.00011286266606626	0.10251183132	0.001138463526	0.000116705980941284	0.09693422006	0.00115087187	0.000111558867107444	0.10137124212	0.001219404038	0.000123612501978204	0.0971290445	0.001220346948	0.000118531133017731	0.09779688854	0.0002809811596	2.74790831472412E-05	0.09498348306	0.00045274102	4.30029190037371E-05	0.10007174672	0.001011528062	0.000101225380020636	0.09591088808	0.001037314902	9.94897934694382E-05	0.0999343133	0.0009878068994	9.87158041645412E-05	0.09670780382	0.001013149064	9.79794209217286E-05	0.10006639952	0.001018346374	0.000101902255110427	0.09614034798	0.00104834605	0.000100788354050458	0.10126309456	0.001253517974	0.000126935109133822	0.09750019078	0.001259895306	0.000122840032697826	0.10134591346	0.001255490834	0.000127238865412387	0.09599926938	0.00125503208	0.000120482162728462	0.10098543054	0.00119382638	0.00012055907097431	0.09737743326	0.00119752644	0.000116612050988185	0.10293375898	0.00117009621	0.000120442401263551	0.09838023296	0.001179177824	0.000116007789026386	0.10129562182	0.00131664643	0.000133370518843933	0.0970010667	0.001292780734	0.000125401110207209	0.10065472142	0.001428345288	0.00014376969705521	0.09731960286	0.001412880342	0.000137500953772141	0.10152771708	0.001420805946	0.00014425118411107	0.0972980759	0.00140907985	0.000137100758194461	0.10267720864	0.00143165886	0.000146998735469525	0.09782068352	0.001422986596	0.000139197521460518	0.1023659764	0.001352804566	0.000138481160276968	0.09743814004	0.001347624574	0.000131310031962757	0.10116881526	0.001267302124	0.000128211454461562	0.09727184982	0.001233827028	0.000120016637371473	
